event_id,signing_team,season,player_name,treatment_category,contract_type,contract_years,mis_overall,mis_data_quality
terrence_ross_2022_PHX,PHX,2022-23,Terrence Ross,new_team,team_change,3,0.9252951699463328,complete
bismack_biyombo_2022_PHX,PHX,2022-23,Bismack Biyombo,re_signed_standard,roster_continuity,3,0.08447913785961925,complete
devin_booker_2022_PHX,PHX,2022-23,Devin Booker,re_signed_supermax,supermax,3,0.0534236844639322,complete
jock_landale_2022_PHX,PHX,2022-23,Jock Landale,new_team,team_change,3,-0.02515611061552186,complete
torrey_craig_2022_PHX,PHX,2022-23,Torrey Craig,re_signed_standard,roster_continuity,3,-0.02641351925775992,complete
damion_lee_2022_PHX,PHX,2022-23,Damion Lee,new_team,team_change,3,-0.7166167023554604,complete
landry_shamet_2022_PHX,PHX,2022-23,Landry Shamet,re_signed_standard,roster_continuity,3,-0.7616929025131183,complete
deandre_ayton_2022_PHX,PHX,2022-23,Deandre Ayton,re_signed_standard,roster_continuity,3,-1.6130023861881813,complete
cameron_payne_2022_PHX,PHX,2022-23,Cameron Payne,re_signed_standard,roster_continuity,3,-2.2561362776515685,complete
kevin_durant_2022_PHX,PHX,2022-23,Kevin Durant,new_team,team_change,3,-2.698929845422117,complete
chris_paul_2022_PHX,PHX,2022-23,Chris Paul,re_signed_standard,roster_continuity,3,-3.3471635749735578,complete
duane_washington_2022_PHX,PHX,2022-23,Duane Washington Jr.,new_team,team_change,3,NA,missing_data
ish_wainright_2022_PHX,PHX,2022-23,Ish Wainright,re_signed_standard,roster_continuity,3,NA,missing_data
saben_lee_2022_PHX,PHX,2022-23,Saben Lee,new_team,team_change,3,NA,missing_data
grayson_allen_2023_PHX,PHX,2023-24,Grayson Allen,new_team,team_change,3,0.8218748256578703,complete
josh_okogie_2023_PHX,PHX,2023-24,Josh Okogie,re_signed_standard,roster_continuity,3,0.4941424178007482,complete
royce_oneale_2023_PHX,PHX,2023-24,Royce O'Neale,new_team,team_change,3,0.4391994952482353,complete
eric_gordon_2023_PHX,PHX,2023-24,Eric Gordon,new_team,team_change,3,0.4126302436694485,complete
jusuf_nurkic_2023_PHX,PHX,2023-24,Jusuf Nurkic,new_team,team_change,3,0.28969276094276103,complete
drew_eubanks_2023_PHX,PHX,2023-24,Drew Eubanks,new_team,team_change,3,-1.0480608292450808,complete
david_roddy_2023_PHX,PHX,2023-24,David Roddy,new_team,team_change,3,-1.1,complete
bradley_beal_2023_PHX,PHX,2023-24,Bradley Beal,new_team,team_change,3,-1.6735433598060234,complete
devin_booker_2023_PHX,PHX,2023-24,Devin Booker,re_signed_standard,roster_continuity,3,-2.359898438694067,complete
kevin_durant_2023_PHX,PHX,2023-24,Kevin Durant,re_signed_standard,roster_continuity,3,-3.2046870679413173,complete
bol_bol_2023_PHX,PHX,2023-24,Bol Bol,new_team,team_change,3,NA,missing_data
ish_wainright_2023_PHX,PHX,2023-24,Ish Wainright,re_signed_standard,roster_continuity,3,NA,missing_data
nassir_little_2023_PHX,PHX,2023-24,Nassir Little,new_team,team_change,3,NA,missing_data
thaddeus_young_2023_PHX,PHX,2023-24,Thaddeus Young,new_team,team_change,3,NA,missing_data
theo_maledon_2023_PHX,PHX,2023-24,Theo Maledon,new_team,team_change,3,NA,missing_data
udoka_azubuike_2023_PHX,PHX,2023-24,Udoka Azubuike,new_team,team_change,3,NA,missing_data
royce_oneale_2024_PHX,PHX,2024-25,Royce O'Neale,re_signed_standard,roster_continuity,3,1.035209174794781,complete
grayson_allen_2024_PHX,PHX,2024-25,Grayson Allen,re_signed_standard,roster_continuity,3,0.0969379388174243,complete
kevin_durant_2024_PHX,PHX,2024-25,Kevin Durant,re_signed_standard,roster_continuity,3,-1.238158738198481,complete
tyus_jones_2024_PHX,PHX,2024-25,Tyus Jones,new_team,team_change,3,-1.8270581691836651,complete
mason_plumlee_2024_PHX,PHX,2024-25,Mason Plumlee,new_team,team_change,3,-2.0587976539589445,complete
bradley_beal_2024_PHX,PHX,2024-25,Bradley Beal,re_signed_standard,roster_continuity,3,-2.1808720930232557,complete
devin_booker_2024_PHX,PHX,2024-25,Devin Booker,re_signed_standard,roster_continuity,3,-2.3324606158367,complete
vasilije_micic_2024_PHX,PHX,2024-25,Vasilije Micic,new_team,team_change,3,-2.4000000000000004,complete
nick_richards_2024_PHX,PHX,2024-25,Nick Richards,new_team,team_change,3,-2.411901892022571,complete
bol_bol_2024_PHX,PHX,2024-25,Bol Bol,re_signed_standard,roster_continuity,3,NA,missing_data
collin_gillespie_2024_PHX,PHX,2024-25,Collin Gillespie,new_team,team_change,3,NA,missing_data
jusuf_nurkic_2017_POR,POR,2017-18,Jusuf Nurkic,re_signed_standard,roster_continuity,3,3.262579247667348,complete
meyers_leonard_2017_POR,POR,2017-18,Meyers Leonard,re_signed_standard,roster_continuity,3,2.805098174880659,complete
damian_lillard_2017_POR,POR,2017-18,Damian Lillard,re_signed_standard,roster_continuity,3,2.307538637912957,complete
shabazz_napier_2017_POR,POR,2017-18,Shabazz Napier,re_signed_standard,roster_continuity,3,2.0800915766609913,complete
maurice_harkless_2017_POR,POR,2017-18,Maurice Harkless,re_signed_standard,roster_continuity,3,0.9893408770833774,complete
al-farouq_aminu_2017_POR,POR,2017-18,Al-Farouq Aminu,re_signed_standard,roster_continuity,3,0.9747227837965377,complete
ed_davis_2017_POR,POR,2017-18,Ed Davis,re_signed_standard,roster_continuity,3,-0.288296973789328,complete
cj_mccollum_2017_POR,POR,2017-18,CJ McCollum,re_signed_standard,roster_continuity,3,-0.73929052774103,complete
evan_turner_2017_POR,POR,2017-18,Evan Turner,re_signed_standard,roster_continuity,3,-0.9157578972348634,complete
brandon_rush_2017_POR,POR,2017-18,Brandon Rush,new_team,team_change,3,NA,missing_data
jake_layman_2017_POR,POR,2017-18,Jake Layman,re_signed_standard,roster_continuity,3,NA,missing_data
pat_connaughton_2017_POR,POR,2017-18,Pat Connaughton,re_signed_standard,roster_continuity,3,NA,missing_data
wade_baldwin_2017_POR,POR,2017-18,Wade Baldwin IV,new_team,team_change,3,NA,missing_data
jusuf_nurkic_2018_POR,POR,2018-19,Jusuf Nurkic,re_signed_standard,roster_continuity,3,3.689837775275136,complete
meyers_leonard_2018_POR,POR,2018-19,Meyers Leonard,re_signed_standard,roster_continuity,3,3.639853556485355,complete
zach_collins_2018_POR,POR,2018-19,Zach Collins,re_signed_standard,roster_continuity,3,3.0999999999999996,complete
skal_labissiere_2018_POR,POR,2018-19,Skal Labissiere,new_team,team_change,3,1.267818574514039,complete
evan_turner_2018_POR,POR,2018-19,Evan Turner,re_signed_standard,roster_continuity,3,1.2,complete
al-farouq_aminu_2018_POR,POR,2018-19,Al-Farouq Aminu,re_signed_standard,roster_continuity,3,0.9916775032509751,complete
damian_lillard_2018_POR,POR,2018-19,Damian Lillard,re_signed_standard,roster_continuity,3,0.6267894045038691,complete
