player_name,season,impact_overall,impact_offense,impact_defense,minutes_played,games_played,age,metric_source
Josh Christopher,2024-25,-7.9,-7.5,-0.4,69,14,23,bpm_basketball_reference
Josh Giddey,2024-25,3,1.9,1.1,2117,70,22,bpm_basketball_reference
Josh Green,2024-25,-4.3,-4.5,0.2,1887,68,24,bpm_basketball_reference
Josh Hart,2024-25,2.8,1.1,1.8,2897,77,29,bpm_basketball_reference
Josh Minott,2024-25,2.2,-0.7,2.9,276,46,22,bpm_basketball_reference
Josh Okogie,2024-25,1.5,-0.1,1.6,625,40,26,bpm_basketball_reference
Josh Richardson,2024-25,-6.7,-7.3,0.6,150,8,31,bpm_basketball_reference
Jrue Holiday,2024-25,0.7,-0.3,1,1896,62,34,bpm_basketball_reference
Julian Champagnie,2024-25,-1.3,-0.3,-0.9,1932,82,23,bpm_basketball_reference
Julian Phillips,2024-25,-3,-2.6,-0.4,1123,79,21,bpm_basketball_reference
Julian Strawther,2024-25,-4.5,-3.1,-1.4,1384,65,22,bpm_basketball_reference
Julius Randle,2024-25,1.3,1.5,-0.2,2226,69,30,bpm_basketball_reference
Justin Champagnie,2024-25,-0.5,-0.3,-0.2,1340,62,23,bpm_basketball_reference
Justin Edwards,2024-25,-3.7,-2.1,-1.6,1155,44,21,bpm_basketball_reference
Justin Minaya,2024-25,-5.4,-7.1,1.7,101,19,25,bpm_basketball_reference
Jusuf Nurkić,2024-25,-1.3,-2.2,0.9,1063,51,30,bpm_basketball_reference
KJ Martin,2024-25,-3.6,-3.2,-0.3,912,43,24,bpm_basketball_reference
KJ Simpson,2024-25,-5.4,-4.5,-0.9,842,36,22,bpm_basketball_reference
Kai Jones,2024-25,2.9,1.4,1.5,468,40,24,bpm_basketball_reference
Karl-Anthony Towns,2024-25,3.6,3.5,0.1,2517,72,29,bpm_basketball_reference
Karlo Matković,2024-25,-2,-1.9,-0.2,791,42,23,bpm_basketball_reference
Kawhi Leonard,2024-25,3.1,2.5,0.6,1180,37,33,bpm_basketball_reference
Keaton Wallace,2024-25,-2.3,-3.3,1,501,31,25,bpm_basketball_reference
Keegan Murray,2024-25,-1.6,-0.8,-0.8,2610,76,24,bpm_basketball_reference
Keion Brooks Jr.,2024-25,-3.5,-2.2,-1.3,332,14,24,bpm_basketball_reference
Kel'el Ware,2024-25,-0.1,-0.7,0.6,1422,64,20,bpm_basketball_reference
Keldon Johnson,2024-25,-1.6,0,-1.6,1838,77,25,bpm_basketball_reference
Kelly Olynyk,2024-25,-0.7,-1.1,0.4,891,44,33,bpm_basketball_reference
Kelly Oubre Jr.,2024-25,-2.3,-1.7,-0.6,2078,60,29,bpm_basketball_reference
Kenrich Williams,2024-25,0.6,-0.4,0.9,1132,69,30,bpm_basketball_reference
Kentavious Caldwell-Pope,2024-25,-1.4,-3,1.6,2279,77,31,bpm_basketball_reference
Keon Ellis,2024-25,1.9,-0.1,2,1948,80,25,bpm_basketball_reference
Keon Johnson,2024-25,-3.3,-3.1,-0.1,1925,79,22,bpm_basketball_reference
Keshad Johnson,2024-25,-0.1,-1,0.9,98,16,23,bpm_basketball_reference
Kessler Edwards,2024-25,-1.4,-2,0.6,608,40,24,bpm_basketball_reference
Kevin Durant,2024-25,3.2,3.9,-0.7,2265,62,36,bpm_basketball_reference
Kevin Huerter,2024-25,-2,-1.8,-0.2,1679,69,26,bpm_basketball_reference
Kevin Knox,2024-25,-1.3,-0.7,-0.6,84,14,25,bpm_basketball_reference
Kevin Love,2024-25,0.4,-0.3,0.7,251,23,36,bpm_basketball_reference
Kevin McCullar Jr.,2024-25,-7.2,-8.5,1.3,29,4,23,bpm_basketball_reference
Kevin Porter Jr.,2024-25,-0.6,-1.6,0.9,1482,75,24,bpm_basketball_reference
Kevon Looney,2024-25,0.3,-1,1.3,1142,76,28,bpm_basketball_reference
Keyonte George,2024-25,-2.7,-0.2,-2.5,2109,67,21,bpm_basketball_reference
Khris Middleton,2024-25,0.7,0.4,0.3,843,37,33,bpm_basketball_reference
Killian Hayes,2024-25,-0.6,-0.5,-0.1,162,6,23,bpm_basketball_reference
Klay Thompson,2024-25,-1,0.7,-1.6,1965,72,34,bpm_basketball_reference
